City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,20,AR,1532480400,64,-54.81,-68.31,37.4,4.7
Georgetown,75,GY,1532480400,94,6.8,-58.16,77.0,11.41
Alibag,75,IN,1532478600,83,18.64,72.88,82.4,9.17
San Patricio,92,PY,1532482242,97,-26.98,-56.83,53.79,2.48
Vaini,100,IN,1532482243,98,15.34,74.49,71.97,7.85
Kieta,88,PG,1532482243,100,-6.22,155.63,78.45,3.15
Ahipara,32,NZ,1532482243,85,-35.17,173.16,56.49,10.76
Richards Bay,0,ZA,1532482244,93,-28.77,32.06,54.06,5.84
Esquias,75,HN,1532480280,42,14.73,-87.37,82.4,3.36
Ust-Kulom,80,RU,1532482244,54,61.69,53.69,68.28,4.83
Tuktoyaktuk,20,CA,1532480400,68,69.44,-133.03,69.8,13.87
Mataura,24,NZ,1532482245,83,-46.19,168.86,43.08,4.61
Cape Town,40,ZA,1532480400,93,-33.93,18.42,55.4,5.82
Kapaa,20,US,1532480160,70,22.08,-159.32,85.17,13.87
Sechura,8,PE,1532482029,80,-5.56,-80.82,70.63,13.33
Talnakh,92,RU,1532482246,84,69.49,88.39,48.93,12.21
Nadvoitsy,0,RU,1532482246,73,63.89,34.27,65.04,3.94
Punta Arenas,0,CL,1532480400,80,-53.16,-70.91,35.6,14.99
Arys,0,KZ,1532480400,37,42.43,68.8,71.6,11.18
Zeya,0,RU,1532482247,64,53.74,127.27,72.33,3.94
Tazovskiy,0,RU,1532482247,57,67.47,78.7,71.61,17.25
Turukhansk,56,RU,1532482248,71,65.8,87.96,57.75,2.37
De-Kastri,76,RU,1532482248,84,51.48,140.77,59.1,6.73
Vaasa,0,FI,1532481600,87,63.1,21.62,57.2,2.24
Hilo,75,US,1532480160,69,19.71,-155.08,77.45,9.17
Svetlogorsk,20,RU,1532480400,82,53.14,59.15,59.0,8.95
Hobart,40,AU,1532480400,50,-42.88,147.33,51.8,17.22
Bethel,1,US,1532479980,46,60.79,-161.76,73.4,16.11
Port Alfred,64,ZA,1532482250,100,-33.59,26.89,61.44,5.95
Albany,40,US,1532480100,61,42.65,-73.75,77.68,8.05
Nampula,20,MZ,1532480400,100,-15.12,39.26,60.8,6.93
Carnarvon,8,ZA,1532482251,61,-30.97,22.13,42.72,9.64
Puerto Ayora,20,EC,1532476800,69,-0.74,-90.35,75.2,13.87
Igrim,0,RU,1532482252,54,63.19,64.42,75.12,5.61
Dire,75,ET,1532476800,93,9.18,38.92,57.2,2.24
Butajira,88,ET,1532482252,97,8.12,38.38,51.72,2.59
San Rafael,0,AR,1532482253,68,-34.61,-68.33,24.18,4.05
Mahebourg,40,MU,1532480400,64,-20.41,57.7,71.6,11.41
Thompson,90,CA,1532480400,93,55.74,-97.86,51.8,12.75
Josefina,44,PH,1532482254,71,8.21,123.54,86.91,3.71
Mar del Plata,36,AR,1532482254,67,-46.43,-67.52,42.27,6.4
Half Moon Bay,90,US,1532480400,93,37.46,-122.43,75.31,13.87
Barrow,0,AR,1532482255,77,-38.31,-60.23,31.74,9.75
New Norfolk,40,AU,1532480400,50,-42.78,147.06,51.8,17.22
Rikitea,92,PF,1532482256,97,-23.12,-134.97,75.48,12.66
Denpasar,75,ID,1532478600,69,-8.65,115.22,78.8,4.7
East London,12,ZA,1532482256,96,-33.02,27.91,69.27,14.23
Hermanus,76,ZA,1532482257,95,-34.42,19.24,52.98,2.93
Puerto Escondido,75,MX,1532479260,70,15.86,-97.07,86.0,3.38
Avarua,75,CK,1532480400,94,-21.21,-159.78,73.4,10.29
Vila,0,IT,1532479800,78,45.18,8.4,72.52,2.24
Hofn,32,IS,1532482258,100,64.25,-15.21,48.48,8.19
Launceston,32,AU,1532480400,66,-41.43,147.14,50.0,14.99
Komsomolskiy,12,RU,1532482259,54,67.55,63.78,70.89,8.08
Barmer,32,IN,1532482259,65,25.74,71.4,84.57,13.89
Airai,0,TL,1532482259,46,-8.93,125.41,81.51,1.48
Pontianak,20,ID,1532478600,83,-0.02,109.34,80.6,3.36
Canico,20,PT,1532480400,73,32.63,-16.85,68.77,5.82
Norman Wells,40,CA,1532480400,35,65.28,-126.83,86.0,8.05
Eichstatt,20,DE,1532481600,93,48.88,11.18,60.82,2.24
Le Port,0,FR,1532482261,94,42.87,1.37,48.66,1.25
Dunedin,0,NZ,1532482143,92,-45.87,170.5,37.69,4.05
Jalu,0,LY,1532482262,61,29.03,21.55,76.02,11.54
Chapais,90,CA,1532480700,100,49.78,-74.86,66.2,4.7
Provideniya,75,RU,1532480400,76,64.42,-173.23,51.8,11.18
Ribeira Grande,56,PT,1532482262,98,38.52,-28.7,73.59,17.92
Yellowknife,20,CA,1532480400,48,62.45,-114.38,66.2,9.17
Saint-Pierre,0,FR,1532480400,60,48.95,4.24,75.58,5.82
Puerto Cabezas,92,NI,1532482264,97,14.04,-83.39,80.97,11.21
Castro,68,CL,1532482264,100,-42.48,-73.76,32.91,2.37
Tual,0,ID,1532482264,97,-5.67,132.75,80.25,15.68
Minab,12,IR,1532480400,84,27.15,57.07,89.6,4.7
Bredasdorp,80,ZA,1532480400,87,-34.53,20.04,57.2,2.24
Muros,40,ES,1532480400,100,42.77,-9.06,62.6,5.82
Bambous Virieux,40,MU,1532480400,64,-20.34,57.76,71.6,11.41
Jamestown,0,AU,1532482266,60,-33.21,138.6,59.82,7.63
Kljuc,0,HR,1532480400,50,43.85,16.03,68.61,9.17
Port Macquarie,0,AU,1532480400,30,-31.43,152.91,68.0,8.05
Waingapu,0,ID,1532482267,58,-9.65,120.26,82.41,7.96
Port Elizabeth,90,US,1532481600,83,39.31,-74.98,78.08,11.41
Hithadhoo,76,MV,1532482268,100,-0.6,73.08,80.52,15.23
Lorengau,0,PG,1532482107,100,-2.02,147.27,83.5,4.16
Don Sak,20,TH,1532478600,74,9.32,99.69,79.54,2.24
Presidencia Roque Saenz Pena,64,AR,1532482269,80,-26.79,-60.44,48.12,6.96
Lensk,64,RU,1532482269,70,60.71,114.91,59.19,9.08
Changji,0,CN,1532482269,71,32.07,116.17,96.18,5.61
Visby,0,SE,1532479800,87,57.64,18.3,55.4,4.72
Yangambi,88,CD,1532482270,100,0.77,24.47,71.79,3.15
Biak,88,ID,1532482270,100,-0.91,122.88,74.85,4.27
Esperance,20,TT,1532480400,83,10.24,-61.45,78.8,5.82
Mwingi,64,KE,1532482271,84,-0.93,38.07,59.1,10.09
San Cristobal,75,EC,1532480400,71,-0.39,-78.55,53.6,10.29
Whithorn,75,JM,1532480400,88,18.26,-78.04,80.6,4.7
Iqaluit,90,CA,1532480400,61,63.75,-68.52,50.0,9.17
Kudahuvadhoo,64,MV,1532482272,100,2.67,72.89,78.54,16.13
Ostrovnoy,0,RU,1532482272,70,68.05,39.51,71.52,11.21
Zastron,0,ZA,1532482034,77,-30.3,27.08,32.02,3.6
Uaua,0,BR,1532482273,80,-9.84,-39.48,67.29,9.86
Grindavik,75,IS,1532480400,100,63.84,-22.43,49.15,10.29
Pisco,90,PE,1532480400,88,-13.71,-76.2,62.6,8.05
Bose,0,IT,1532479800,64,45.46,8.01,57.34,3.36
Sturgis,1,US,1532480160,65,44.41,-103.51,81.82,11.41
Kodiak,1,US,1532479980,51,39.95,-94.76,82.4,8.05
Luderitz,0,NA,1532482275,70,-26.65,15.16,55.77,6.73
Anloga,75,GH,1532480400,94,5.79,0.9,77.0,13.87
Gubkin,92,RU,1532482275,98,51.28,37.53,64.41,6.4
Katsuura,20,JP,1532480400,62,33.93,134.5,88.74,4.7
Naryan-Mar,0,RU,1532482276,76,67.67,53.09,61.53,5.17
Elko,1,US,1532480160,14,40.83,-115.76,96.8,11.41
Busselton,92,AU,1532482277,100,-33.64,115.35,60.27,30.78
Barreirinha,76,BR,1532482277,86,-2.8,-57.07,78.09,4.94
Bilibino,8,RU,1532482277,57,68.06,166.44,60.72,2.93
Guerrero Negro,12,MX,1532482277,79,27.97,-114.04,74.49,7.74
Poum,24,MK,1532482278,98,41.28,20.71,54.24,1.59
Vardo,75,US,1532480100,83,39.62,-77.74,73.9,8.05
Port Lincoln,68,AU,1532481989,90,-34.72,135.86,58.66,7.74
Tobermory,64,CA,1532482055,97,45.25,-81.67,67.3,2.48
Praia da Vitoria,20,PT,1532480400,88,38.73,-27.07,68.0,18.03
Faanui,24,PF,1532482279,99,-16.48,-151.75,80.25,14.23
Arraial do Cabo,20,BR,1532480400,93,-22.97,-42.02,66.2,3.36
Atuona,64,PF,1532482254,100,-9.8,-139.03,77.55,13.78
Naze,100,NG,1532482280,98,5.43,7.07,71.97,3.94
Dhidhdhoo,56,MV,1532482280,100,6.88,73.1,80.7,18.59
Padang,88,ID,1532482280,100,-0.92,100.36,77.01,1.59
Bathsheba,75,BB,1532480400,69,13.22,-59.52,80.6,20.8
Los Llanos de Aridane,12,ES,1532480400,73,28.66,-17.92,69.8,10.29
Okhotsk,92,RU,1532482282,92,59.36,143.24,59.19,5.06
Cobija,0,BR,1532482282,68,-11.02,-68.77,68.01,3.94
Kavieng,36,PG,1532482283,100,-2.57,150.8,84.03,8.52
Klaksvik,88,FO,1532479800,100,62.23,-6.59,50.0,11.41
Tasiilaq,0,GL,1532479800,52,65.61,-37.64,46.4,5.82
Belton,1,US,1532480280,34,31.06,-97.46,95.25,9.17
Kruisfontein,100,ZA,1532482283,88,-34.0,24.73,58.47,5.73
Yerbogachen,92,RU,1532482284,85,61.28,108.01,54.24,8.41
Qaanaaq,88,GL,1532482284,97,77.48,-69.36,35.34,1.92
Montes Claros,0,BR,1532476800,45,-16.73,-43.87,68.0,8.05
Chuy,56,UY,1532482285,81,-33.69,-53.46,52.89,10.87
Eha Amufu,88,NG,1532482285,97,6.65,7.77,71.52,3.94
Talara,8,PE,1532482228,85,-4.58,-81.27,67.38,6.29
Lebu,75,ET,1532476800,93,8.96,38.73,57.2,2.24
Praia,0,BR,1532480400,63,-20.25,-43.81,60.8,6.93
Khatanga,32,RU,1532482286,74,71.98,102.47,54.96,10.87
Kavaratti,76,IN,1532482286,100,10.57,72.64,81.33,20.27
Quesnel,1,CA,1532480400,31,52.98,-122.49,75.2,4.7
Taoudenni,0,ML,1532482287,13,22.68,-3.98,79.17,5.17
Muroto,20,JP,1532480400,66,33.37,134.14,89.6,8.05
Anchorage,90,US,1532480160,72,61.22,-149.89,64.4,3.36
Auki,88,NG,1532482288,93,12.18,6.51,74.94,10.87
Sitka,8,US,1532482288,34,37.17,-99.65,83.67,7.96
Pevek,0,RU,1532482288,97,69.7,170.27,42.54,8.41
Chantada,40,ES,1532480400,100,42.61,-7.77,62.6,5.82
Beringovskiy,20,RU,1532482289,89,63.05,179.32,59.64,3.83
Kahului,40,US,1532480160,62,20.89,-156.47,84.74,24.16
Butaritari,76,KI,1532482289,100,3.07,172.79,80.61,1.48
Port Blair,76,IN,1532482289,100,11.67,92.75,80.61,20.27
Sinnamary,8,GF,1532482290,97,5.38,-52.96,80.07,7.96
Tiksi,44,RU,1532482290,78,71.64,128.87,43.44,12.44
Necochea,0,AR,1532482290,100,-38.55,-58.74,33.54,9.53
Gimli,36,CA,1532482291,71,50.63,-96.99,65.31,11.65
Guamuchil,92,MX,1532482291,63,25.47,-108.1,88.53,6.96
Ilulissat,75,GL,1532479800,93,69.22,-51.1,37.4,8.05
Pitimbu,0,BR,1532480400,83,-7.47,-34.81,71.6,4.7
Pangoa,8,PE,1532482292,96,-12.12,-73.0,59.1,1.92
Severo-Kurilsk,44,RU,1532482293,94,50.68,156.12,54.24,9.86
Husavik,36,CA,1532482293,71,50.56,-96.99,65.31,11.65
Port Hedland,0,AU,1532480400,47,-20.31,118.58,75.2,8.05
Upernavik,76,GL,1532482293,98,72.79,-56.15,37.41,9.75
Cherskiy,56,RU,1532482294,52,68.75,161.3,52.71,4.72
Dabakala,92,CI,1532482294,98,8.36,-4.43,71.34,8.41
Cuddapah,8,IN,1532482294,59,14.47,78.82,83.58,13.56
Columbus,1,US,1532480280,74,32.46,-84.99,79.23,2.15
Mecca,0,SA,1532480400,48,21.43,39.83,87.8,4.7
Linqiong,0,CN,1532480400,74,30.42,103.46,84.2,2.71
Dikson,80,RU,1532482296,100,73.51,80.55,42.9,16.58
Ust-Kuyga,36,RU,1532482296,59,70.0,135.55,50.64,12.21
Dingle,32,PH,1532482296,83,11.0,122.67,84.75,8.97
Samarai,36,PG,1532482297,100,-10.62,150.67,78.09,14.12
Erzin,0,TR,1532479800,78,36.95,36.2,78.82,8.05
Saint-Francois,0,FR,1532480400,82,46.42,3.91,62.6,2.24
Bilma,0,NE,1532482298,38,18.69,12.92,74.22,4.16
Honiara,20,SB,1532480400,70,-9.43,159.96,89.6,10.29
Bluff,0,AU,1532482299,40,-23.58,149.07,76.29,4.61
Brigantine,75,US,1532480400,88,39.41,-74.36,78.35,16.11
Nusaybin,0,TR,1532479800,41,37.08,41.21,77.0,3.36
Longyearbyen,75,NO,1532479800,86,78.22,15.63,41.0,11.41
Berlevag,0,NO,1532482300,87,70.86,29.09,57.93,3.71
Pangai,75,TO,1532480400,78,-19.8,-174.35,77.0,9.17
Cidreira,92,BR,1532482301,98,-30.17,-50.22,56.31,11.65
Irece,0,BR,1532482302,80,-11.3,-41.86,62.61,9.75
Rio Grande,92,BR,1532482127,85,-32.03,-52.1,56.05,14.67
Ampanihy,0,MG,1532482303,90,-24.69,44.75,54.51,8.3
Kaitangata,0,NZ,1532482304,80,-46.28,169.85,45.24,11.21
Riberalta,0,BO,1532482304,63,-11.0,-66.08,70.62,4.61
Vikulovo,36,RU,1532482304,76,55.07,40.96,64.05,12.21
Tianpeng,20,CN,1532482305,77,28.88,112.34,90.24,9.75
Hannibal,1,US,1532480100,61,39.71,-91.36,79.74,6.93
Yeppoon,20,AU,1532480400,64,-23.13,150.74,73.4,3.36
Zaykovo,0,RU,1532482306,56,57.56,62.76,76.11,4.16
Zhigansk,92,RU,1532482306,63,66.77,123.37,55.95,6.17
Nikolskoye,0,RU,1532480400,82,59.7,30.79,64.4,2.24
Jacmel,40,HT,1532476800,58,18.24,-72.54,86.0,14.99
Clarence Town,0,AU,1532480400,53,-32.59,151.78,66.2,17.22
Les Cayes,88,HT,1532482282,100,18.19,-73.75,81.06,12.66
Vao,24,EE,1532482308,92,59.1,26.19,64.14,3.04
Victoria,75,BN,1532478600,88,5.28,115.24,82.4,2.24
Kulu,64,CD,1532482309,99,3.47,23.69,69.09,2.15
Vredendal,92,ZA,1532482309,95,-31.68,18.49,51.99,2.59
Buraydah,20,SA,1532480400,31,26.33,43.97,87.8,8.05
Cap Malheureux,40,MU,1532480400,64,-19.98,57.61,71.6,11.41
Am Timan,88,TD,1532482310,80,11.04,20.28,73.95,6.51
Talcahuano,75,CL,1532480400,100,-36.72,-73.12,42.8,3.36
Saskylakh,24,RU,1532482311,72,71.97,114.09,52.44,10.2
Mount Gambier,80,AU,1532482311,81,-37.83,140.78,55.14,5.06
Saldanha,0,PT,1532482312,86,41.42,-6.55,56.13,2.59
Salisbury,20,GB,1532480160,77,51.07,-1.8,60.08,8.05
Omboue,20,GA,1532482312,100,-1.57,9.26,72.6,10.65
Sokolo,8,ML,1532482313,59,14.74,-6.12,81.42,11.88
Qaqortoq,20,GL,1532479800,52,60.72,-46.03,44.6,5.82
Mankera,100,NG,1532482313,90,13.01,5.07,77.46,8.19
Aripuana,0,BR,1532482314,64,-9.17,-60.63,77.37,2.93
Dvinskoy,92,RU,1532482314,73,62.16,45.12,64.77,3.94
Makakilo City,1,US,1532480220,48,21.35,-158.09,84.18,10.29
Sakaiminato,75,JP,1532480400,62,35.55,133.23,86.85,5.82
Belaya Gora,92,RU,1532482315,82,68.54,146.19,50.19,9.42
Tobol,0,SE,1532479800,77,59.83,12.54,64.4,3.36
Vila Franca do Campo,40,PT,1532480400,82,37.72,-25.43,68.0,4.7
Saint-Philippe,90,CA,1532481060,88,45.36,-73.48,76.59,2.24
Fallon,1,US,1532480160,41,46.84,-105.12,77.0,24.16
College,1,US,1532480280,23,64.86,-147.8,84.2,4.38
Goure,36,NE,1532482317,83,13.98,10.27,76.11,6.73
Khuzdar,0,PK,1532482317,65,27.8,66.62,76.92,3.71
Caluquembe,0,AO,1532482317,68,-13.78,14.68,45.15,5.28
Shingu,20,JP,1532480400,66,33.72,135.99,87.8,4.7
Athabasca,64,CA,1532482318,71,54.72,-113.29,60.81,5.06
Hervey Bay,0,AU,1532482263,87,-25.3,152.85,68.91,0.92
Port Hardy,20,CA,1532480400,77,50.7,-127.42,62.6,5.82
Singleton,0,AU,1532480400,67,-32.57,151.17,66.2,17.22
Tura,44,IN,1532482319,94,25.52,90.21,80.07,2.48
Panna,80,IN,1532482319,98,24.72,80.19,77.01,10.42
Xichang,0,CN,1532482320,74,27.88,102.25,66.21,1.92
Sao Joao do Piaui,0,BR,1532482320,50,-8.36,-42.25,74.58,12.66
Bandarbeyla,0,SO,1532482320,79,9.49,50.81,75.57,26.08
Kutum,48,SD,1532482320,61,14.2,24.66,71.79,10.76
Havoysund,0,NO,1532479800,77,71.0,24.66,59.0,3.6
Vestmanna,88,FO,1532479800,100,62.16,-7.17,50.0,11.41
Castanos,0,MX,1532482321,29,26.78,-101.42,89.88,5.39
Garissa,24,KE,1532482322,75,-0.46,39.64,70.62,11.88
Puerto Maldonado,12,PE,1532482322,60,-12.59,-69.19,69.81,4.38
Saint-Jovite,90,CA,1532480400,94,46.12,-74.6,73.4,6.62
Chokurdakh,36,RU,1532482322,90,70.62,147.9,48.21,4.38
Ust-Karsk,0,RU,1532482323,65,52.71,118.82,74.22,3.27
Someshwar,64,IN,1532482323,94,29.78,79.6,64.68,1.92
Kachkanar,44,RU,1532482323,58,58.7,59.48,72.51,3.27
Mastic Beach,20,US,1532480160,100,40.77,-72.85,75.45,10.29
Susner,92,IN,1532482324,100,23.94,76.1,73.32,11.43
Nanortalik,12,GL,1532482324,93,60.14,-45.24,40.02,21.72
Beyneu,24,KZ,1532482325,48,45.32,55.19,74.85,11.32
El Dorado,20,VE,1532482325,94,6.71,-61.64,72.42,2.59
Prince Rupert,90,CA,1532480400,93,54.32,-130.32,55.4,8.05
Atambua,0,ID,1532482325,81,-9.11,124.89,82.05,4.61
Srednekolymsk,88,RU,1532482326,64,67.46,153.71,59.01,6.06
Kenora,75,CA,1532481300,68,49.76,-94.48,68.11,9.17
Tucurui,80,BR,1532482326,66,-3.77,-49.67,82.14,4.16
Aklavik,40,CA,1532480400,51,68.22,-135.01,80.6,3.36
Waddan,0,LY,1532482327,66,29.16,16.14,72.78,7.18
Saint George,20,GR,1532479800,73,39.45,22.34,69.8,4.7
Cabo San Lucas,5,MX,1532479560,61,22.89,-109.91,84.36,18.34
Sorland,92,NO,1532482328,98,67.67,12.69,55.14,3.6
Lasa,90,CY,1532480400,83,34.92,32.53,78.01,6.96
Mayo,20,CA,1532480400,20,63.59,-135.9,84.2,2.26
